Half,Clock,Play,Score,game_id,home_id,away_id,game_date,time,Period
1,06:12:00,Substitution NSU: out Ryan Davis,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Substitution NSU: out Isaiah Fuller,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,"Free throw 1 of 2 (fast break) missed by Ryker Cisarik(NSU), rebound offensive dead ball NSU",17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:12:00,Foul personal (shooting;2 free throws) (in the paint) Malcolm Whitlow(ERAU),17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:19:00,"3pt jump shot (off turnover) (outside center) missed by Malcolm Whitlow(ERAU), rebound defensive Ryker Cisarik(NSU)",17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:43:00,Substitution ERAU: in Danny Sully,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:43:00,Substitution ERAU: in Michael McCalister,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:43:00,Substitution ERAU: out Jon Alessandro,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:43:00,Substitution ERAU: out Nikola Jerotic,17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:43:00,Turnover lost ball (in the paint) Isaiah Fuller(NSU),17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,06:47:00,"3pt jump shot (off turnover) (outside right) missed by Jon Alessandro(ERAU), rebound defensive Isaiah Fuller(NSU)",17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,07:06:00,"Turnover lost ball (in the paint) MJ Iraldi(NSU), steal Malcolm Whitlow(ERAU)",17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,07:17:00,2pt layup (2nd chance) (under the basket) made by Cameron Shockley-Okeke(ERAU),17 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,07:23:00,"2pt layup (blocked) (under the basket) missed by Cameron Shockley-Okeke(ERAU), block Ryker Cisarik(NSU), rebound offensive Cameron Shockley-Okeke(ERAU)",15 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
1,07:32:00,"3pt jump shot (off turnover) (outside left) missed by Ryker Cisarik(NSU), rebound defensive Nikola Jerotic(ERAU)",15 - 22,5253196,561502,561458,2024-03-17,2024-03-18,NA
