Half,Clock,Play,Score,game_id,home_id,away_id
2,12:51,"3pt jump shot (outside right) made by Scotty Middleton(OSU), assist Bruce Thornton(OSU)",50 - 42,5252651,560955,561008
2,13:14,2pt layup (under the basket) made by Ty Rodgers(ILL),47 - 42,5252651,560955,561008
2,13:38,"2pt floating jump shot (inside right) made by Scotty Middleton(OSU), assist Bruce Thornton(OSU)",47 - 40,5252651,560955,561008
2,13:55,"3pt jump shot (outside left) missed by Marcus Domask(ILL), rebound defensive Zed Key(OSU)",45 - 40,5252651,560955,561008
2,14:07,Free throw 1 of 1 made by Bruce Thornton(OSU),45 - 40,5252651,560955,561008
2,14:07,Substitution ILL: in Ty Rodgers,44 - 40,5252651,560955,561008
2,14:07,Substitution ILL: out Luke Goode,44 - 40,5252651,560955,561008
2,14:07,Foul personal (shooting;1 free throw) (under the basket) Justin Harmon(ILL),44 - 40,5252651,560955,561008
2,14:07,2pt driving layup (under the basket) made by Bruce Thornton(OSU),44 - 40,5252651,560955,561008
2,14:22,2pt driving layup (under the basket) made by Marcus Domask(ILL),42 - 40,5252651,560955,561008
2,14:35,"2pt turnaround jump shot (off turnover) (in the paint) made by Devin Royal(OSU), assist Bruce Thornton(OSU)",42 - 38,5252651,560955,561008
2,14:48,Turnover bad pass (inside left) Coleman Hawkins(ILL),40 - 38,5252651,560955,561008
2,14:48,Foul ILL,40 - 38,5252651,560955,561008
2,15:01,"3pt jump shot (outside right) missed by Luke Goode(ILL), rebound offensive (team) ILL",40 - 38,5252651,560955,561008
2,15:17,"2pt pull up jump shot (in the paint) made by Devin Royal(OSU), assist Bruce Thornton(OSU)",40 - 38,5252651,560955,561008
2,15:31,Free throw 2 of 2 made by Justin Harmon(ILL),38 - 38,5252651,560955,561008
2,15:31,Free throw 1 of 2 made by Justin Harmon(ILL),38 - 37,5252651,560955,561008
2,15:31,Substitution OSU: in Zed Key,38 - 36,5252651,560955,561008
2,15:31,Substitution OSU: in Scotty Middleton,38 - 36,5252651,560955,561008
2,15:31,Substitution OSU: out Felix Okpara,38 - 36,5252651,560955,561008
2,15:31,Substitution OSU: out Roddy Gayle Jr.,38 - 36,5252651,560955,561008
2,15:31,Timeout commercial,38 - 36,5252651,560955,561008
2,15:31,Foul personal (shooting;2 free throws) (under the basket) Felix Okpara(OSU),38 - 36,5252651,560955,561008
2,15:42,"2pt layup (2nd chance) (under the basket) missed by Jamison Battle(OSU), rebound defensive Marcus Domask(ILL)",38 - 36,5252651,560955,561008
2,15:47,"2pt driving layup (under the basket) missed by Roddy Gayle Jr.(OSU), rebound offensive Jamison Battle(OSU)",38 - 36,5252651,560955,561008
2,15:53,"2pt layup (off turnover;blocked) (under the basket) missed by Marcus Domask(ILL), block Felix Okpara(OSU), rebound defensive Felix Okpara(OSU)",38 - 36,5252651,560955,561008
2,16:07,Turnover bad pass (inside left) Roddy Gayle Jr.(OSU),38 - 36,5252651,560955,561008
2,16:32,"3pt jump shot (outside left) made by Marcus Domask(ILL), assist Coleman Hawkins(ILL)",38 - 36,5252651,560955,561008
2,16:49,"Free throw 2 of 2 (fast break) missed by Bruce Thornton(OSU), rebound offensive Jamison Battle(OSU), rebound defensive Luke Goode(ILL)",38 - 33,5252651,560955,561008
2,16:49,Substitution ILL: in Luke Goode,38 - 33,5252651,560955,561008
2,16:49,Substitution ILL: in Justin Harmon,38 - 33,5252651,560955,561008
2,16:49,Substitution ILL: out Ty Rodgers,38 - 33,5252651,560955,561008
2,16:49,Substitution ILL: out Quincy Guerrier,38 - 33,5252651,560955,561008
2,16:49,Free throw 1 of 2 (fast break) made by Bruce Thornton(OSU),38 - 33,5252651,560955,561008
2,16:49,Foul personal (shooting;2 free throws) (in the paint) Terrence Shannon Jr.(ILL),37 - 33,5252651,560955,561008
2,16:57,"3pt jump shot (outside left) missed by Terrence Shannon Jr.(ILL), rebound defensive Devin Royal(OSU)",37 - 33,5252651,560955,561008
2,16:58,Substitution OSU: in Devin Royal,37 - 33,5252651,560955,561008
2,16:58,Substitution OSU: out Evan Mahaffey,37 - 33,5252651,560955,561008
2,16:58,"Foul personal (inside left wing) Evan Mahaffey(OSU), foul on Terrence Shannon Jr.(ILL)",37 - 33,5252651,560955,561008
2,17:03,"3pt jump shot (outside left) missed by Jamison Battle(OSU), rebound defensive Coleman Hawkins(ILL)",37 - 33,5252651,560955,561008
2,17:16,"Foul personal (inside center) Terrence Shannon Jr.(ILL), foul on Jamison Battle(OSU)",37 - 33,5252651,560955,561008
2,19:17,Turnover lost ball (inside left) Terrence Shannon Jr.(ILL),37 - 33,5252651,560955,561008
